center_mb	gc_percent	unique_tss	wolf_snp_count	dog_snp_count	campbell_pedigree	wolf_ld	dog_ld
101.550224	40.543858502724994	8	670.0	606.0	6.734290986609714e-10	2.361958926575536e-09	1.0647763062821003e-09
101.650224	44.806396819308794	6	684.0	520.0	6.734290986609714e-10	4.042974390404685e-09	3.264710322081754e-09
101.750224	50.116649631635426	15	685.0	479.0	6.734290986609714e-10	1.5606698797909769e-09	2.3606607237369736e-09
101.850224	42.40515234375	3	711.0	488.0	6.734290986609714e-10	1.8465057866878798e-09	3.2093373669317415e-09
101.950224	40.680565009671824	1	1169.0	760.0	6.734290986620816e-10	7.816941546244794e-09	4.585651867974327e-09
102.050224	48.834737720146215	15	727.0	619.0	6.734290986609714e-10	6.325832845091028e-09	2.5037504282299226e-09
102.150224	53.15936224001218	20	656.0	516.0	6.734290986609714e-10	6.2477219636758455e-09	3.264517942733747e-09
102.250224	53.953167697361444	15	640.0	555.0	1.4649086146317769e-08	4.993424133611368e-09	3.741669410608495e-09
102.350224	54.38063907986634	20	799.0	699.0	1.1575532305915237e-08	1.0136322158961208e-08	5.755212224339834e-09
102.450224	54.64236328125	13	865.0	941.0	6.71702871118951e-10	2.8613543278221963e-09	2.334857534747048e-09
102.550224	48.95694692447098	7	995.0	778.0	6.71702871118951e-10	4.397427334247306e-09	7.007769627558336e-09
102.650224	42.5273851812786	2	1239.0	1010.0	2.1901974223639265e-08	6.024238085379218e-09	1.6156138712869473e-08
102.750224	44.35608760696498	5	1478.0	1436.0	4.3198038945946314e-09	1.1178149417852e-08	1.1523052586368544e-08
102.850224	49.877483155098	11	795.0	775.0	6.718182866349842e-10	7.639342760884515e-09	5.457591846563803e-09
102.950224	47.97039453125	9	1534.0	1398.0	6.718182866349842e-10	1.0019291705626321e-08	5.627132337793217e-09
103.050224	53.5471953125	22	831.0	839.0	6.718182866360945e-10	7.1855403052234475e-09	6.663828345699896e-09
103.150224	44.858376953125	11	984.0	873.0	6.718182866349842e-10	1.035059169582131e-08	1.2298884319474901e-08
103.250224	48.649481852049796	5	674.0	638.0	1.9969509534223383e-09	1.3200819500301941e-08	1.554330687768779e-08
103.350224	48.8483076171875	7	0.0	0.0	2.5131242557419055e-09	3.602817360661703e-09	1.4658061647470078e-08
103.450224	47.0447340936857	4	34.0	28.0	2.5131242557430155e-09	6.195211423168923e-09	1.3174938129620895e-08
